Tempo_�s,Ciclo_CPU,Referencia_Motor,Vel_Real
16512332.0,47.52,1400.0,1251.0
16542420.0,47.52,1400.0,1251.0
16572740.0,47.85,1400.0,1422.0
16602740.0,47.85,1400.0,1422.0
16632972.0,47.85,1400.0,1182.0
16663060.0,47.85,1400.0,1182.0
16693384.0,48.04,1400.0,1285.0
16723380.0,48.04,1400.0,1285.0
16753612.0,48.04,1400.0,1662.0
16783700.0,48.04,1400.0,1662.0
16814024.0,47.67,1400.0,1422.0
16844020.0,47.67,1400.0,1422.0
16874248.0,47.67,1400.0,1697.0
16904340.0,47.67,1400.0,1697.0
16934656.0,47.43,1400.0,1200.0
16964660.0,47.43,1400.0,1200.0
16994892.0,47.43,1400.0,1200.0
17024980.0,47.43,1400.0,1200.0
17055296.0,47.75,1400.0,1491.0
17085300.0,47.75,1400.0,1491.0
17115532.0,47.75,1400.0,1234.0
17145620.0,47.75,1400.0,1234.0
17175940.0,47.87,1400.0,1182.0
17205940.0,47.87,1400.0,1182.0
17236172.0,47.87,1400.0,1422.0
17266260.0,47.87,1400.0,1422.0
17296592.0,47.79,1400.0,1285.0
17326580.0,47.79,1400.0,1285.0
17356816.0,47.79,1400.0,1182.0
17386900.0,47.79,1400.0,1182.0
17417220.0,48.04,1400.0,1474.0
17447220.0,48.04,1400.0,1474.0
17477452.0,48.04,1400.0,1354.0
17507540.0,48.04,1400.0,1354.0
17537860.0,48.02,1400.0,1542.0
17567860.0,48.02,1400.0,1542.0
17598096.0,48.02,1400.0,1697.0
17628188.0,48.02,1400.0,1697.0
17658496.0,47.67,1400.0,1234.0
17688500.0,47.67,1400.0,1234.0
17718732.0,47.67,1400.0,1920.0
17748820.0,47.67,1400.0,1920.0
17779148.0,47.19,1400.0,1182.0
17809140.0,47.19,1400.0,1182.0
17839376.0,47.19,1400.0,1200.0
17869460.0,47.19,1400.0,1200.0
17899776.0,47.59,1400.0,1765.0
17929780.0,47.59,1400.0,1765.0
17960024.0,47.59,1400.0,1268.0
17990100.0,47.59,1400.0,1268.0
18020432.0,47.67,1400.0,1182.0
18050420.0,47.67,1400.0,1182.0
18080648.0,47.67,1400.0,1594.0
18110740.0,47.67,1400.0,1594.0
18141064.0,47.41,1400.0,1165.0
18171060.0,47.41,1400.0,1165.0
18201300.0,47.41,1400.0,1182.0
18231380.0,47.41,1400.0,1182.0
18261696.0,47.72,1400.0,1440.0
18291700.0,47.72,1400.0,1440.0
18321936.0,47.72,1400.0,1508.0
18352020.0,47.72,1400.0,1508.0
18382344.0,47.52,1400.0,1182.0
18412340.0,47.52,1400.0,1182.0
18442580.0,47.52,1400.0,1422.0
18472660.0,47.52,1400.0,1422.0
18502992.0,47.54,1400.0,1457.0
18532980.0,47.54,1400.0,1457.0
18563220.0,47.54,1400.0,1182.0
18593300.0,47.54,1400.0,1182.0
18623632.0,47.79,1400.0,1525.0
18653620.0,47.79,1400.0,1525.0
18683860.0,47.79,1400.0,1457.0
18713940.0,47.79,1400.0,1457.0
18744268.0,47.65,1400.0,1182.0
18774260.0,47.65,1400.0,1182.0
18804500.0,47.65,1400.0,1320.0
18834580.0,47.65,1400.0,1320.0
18864904.0,47.76,1400.0,1268.0
18894900.0,47.76,1400.0,1268.0
18925132.0,47.76,1400.0,1182.0
18955220.0,47.76,1400.0,1182.0
18985544.0,47.98,1400.0,1234.0
19015540.0,47.98,1400.0,1234.0
19045772.0,47.98,1400.0,1371.0
19075860.0,47.98,1400.0,1371.0
19106180.0,47.94,1400.0,1182.0
19136180.0,47.94,1400.0,1182.0
19166412.0,47.94,1400.0,1182.0
19196500.0,47.94,1400.0,1182.0
19226828.0,48.17,1400.0,1337.0
19256820.0,48.17,1400.0,1337.0
19287056.0,48.17,1400.0,1268.0
19317140.0,48.17,1400.0,1268.0
19347472.0,48.24,1400.0,1508.0
19377460.0,48.24,1400.0,1508.0
19407700.0,48.24,1400.0,1611.0
19437780.0,48.24,1400.0,1611.0
19468104.0,47.96,1400.0,1234.0
19498100.0,47.96,1400.0,1234.0
19528340.0,47.96,1400.0,1851.0
19558428.0,47.96,1400.0,1851.0
19588740.0,47.53,1400.0,1371.0
19618740.0,47.53,1400.0,1371.0
19648972.0,47.53,1400.0,1182.0
19679060.0,47.53,1400.0,1182.0
19709384.0,47.93,1400.0,1765.0
19739380.0,47.93,1400.0,1765.0
19769612.0,47.93,1400.0,1388.0
19799700.0,47.93,1400.0,1388.0
19830024.0,47.87,1400.0,1182.0
19860020.0,47.87,1400.0,1182.0
19890264.0,47.87,1400.0,1457.0
19920340.0,47.87,1400.0,1457.0
19950668.0,47.8,1400.0,1559.0
19980660.0,47.8,1400.0,1559.0
20010892.0,47.8,1400.0,1182.0
20040980.0,47.8,1400.0,1182.0
20071300.0,48.06,1400.0,1268.0
20101300.0,48.06,1400.0,1268.0
20131532.0,48.06,1400.0,1782.0
20161620.0,48.06,1400.0,1782.0
20191944.0,47.56,1400.0,1371.0
20221940.0,47.56,1400.0,1371.0
20252172.0,47.56,1400.0,1971.0
20282260.0,47.56,1400.0,1971.0
20312576.0,47.05,1400.0,1200.0
20342580.0,47.05,1400.0,1200.0
20372812.0,47.05,1400.0,1182.0
20402900.0,47.05,1400.0,1182.0
20433224.0,47.49,1400.0,1405.0
20463220.0,47.49,1400.0,1405.0
20493452.0,47.49,1400.0,1268.0
20523540.0,47.49,1400.0,1268.0
20553864.0,47.56,1400.0,1182.0
20583860.0,47.56,1400.0,1182.0
20614092.0,47.56,1400.0,1285.0
20644180.0,47.56,1400.0,1285.0
20674500.0,47.64,1400.0,1182.0
20704500.0,47.64,1400.0,1182.0
20734732.0,47.64,1400.0,1182.0
20764820.0,47.64,1400.0,1182.0
